date,neutrino
2020-07-26,0.998634559287529
2020-07-27,0.9964757198379461
2020-07-28,0.9955339727921813
2020-07-29,0.9976171435705397
2020-07-30,0.9990979235932623
2020-07-31,0.9966431813458341
2020-08-01,0.9978321779987387
2020-08-02,0.99821376241411
2020-08-03,0.9913625879253131
2020-08-04,0.9952106043178837
2020-08-05,0.9938031218245774
2020-08-06,0.9937475979444311
2020-08-07,0.9953621992803674
2020-08-08,0.9904689710873626
2020-08-09,0.9986790786694673
2020-08-10,0.9998203136437783
2020-08-11,0.9967652097210082
2020-08-12,0.9952690168859201
2020-08-13,0.9971575832852261
2020-08-14,1.000294252374862
2020-08-15,0.9968181933408303
2020-08-16,0.9962011941137258
2020-08-17,0.9986962641488023
2020-08-18,0.9928656188051606
2020-08-19,0.9975064556689366
