UNIX_timestamp,prices,market_caps,total_volumes
1.51165E+12,1.01419,684545632.6,620033000
1.51174E+12,1.00235,676554013.4,786586000
1.51183E+12,1.00057,675352570.7,796116000
1.51191E+12,1.01913,753155769,1663310000
1.512E+12,1.0089,770817102.4,1060180000
1.51209E+12,1.00844,770465654.4,750154000
1.51217E+12,0.999631,813716975.6,680812000
1.51226E+12,0.993652,808849965.9,944752000
1.51235E+12,1.00177,815458158.7,665302000
1.51243E+12,1.00236,815938428.9,816358000
1.51252E+12,1.0093,821587709.3,1172130000
1.5126E+12,1.0312,839414689.3,1669770000
1.51269E+12,1.01755,828303352.5,1994670000
1.51278E+12,1.01846,829044108.2,1599660000
1.51286E+12,1.01666,827578877,1646740000
1.51295E+12,1.0107,847994833.6,1533750000
1.51304E+12,1.07406,901154972.8,2245970000
1.51312E+12,1.01946,906317625.6,2204870000
1.51321E+12,1.01142,975026426.1,2326850000
1.5133E+12,1.01604,1035362386,2045460000
1.51338E+12,1.00749,1127398788,1588870000
1.51347E+12,1.01064,1130923693,1935000000
1.51356E+12,1.0142,1134907394,2513940000
1.51364E+12,1.01531,1186948145,3071790000
1.51373E+12,1.00057,1169716348,3755010000
1.51381E+12,1.00832,1228224344,3083450000
1.5139E+12,1.03535,1261149313,4686080000
1.51399E+12,1.052,1281430509,2377950000
1.51407E+12,1.0292,1253658060,2634840000
1.51416E+12,1.01129,1231842071,1709740000
1.51425E+12,1.00445,1223510337,1850150000
1.51433E+12,1.0037,1222596769,1940640000
1.51442E+12,1.00951,1280149371,2201500000
1.51451E+12,1.00326,1372549810,1932680000
1.51459E+12,1.01842,1393290052,2713290000
1.51468E+12,1.01234,1384972066,1929950000
1.51476E+12,1.00891,1380279517,1681610000
1.51485E+12,1.00392,1373452749,2632020000
1.51494E+12,1.01578,1389678295,2461680000
1.51502E+12,1.00274,1472112403,3203460000
1.51511E+12,0.999695,1467642070,3096040000
1.5152E+12,1.00853,1480612643,2622980000
1.51528E+12,1.00133,1470042396,2345900000
1.51537E+12,1.01232,1486176704,3798580000
1.51546E+12,1.00419,1474241133,2761970000
1.51554E+12,1.0023,1471466444,3152380000
1.51563E+12,1.00616,1477133270,3832640000
1.51572E+12,1.00389,1473800706,2683030000
1.5158E+12,1.00231,1471481125,2764200000
1.51589E+12,1.01702,1493076726,2952650000
1.51597E+12,1.00744,1479012425,2554490000
1.51606E+12,1.03035,1667199879,5541320000
1.51615E+12,1.02089,1651892740,5611060000
